====== Scene: 83 ======
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module optixutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin_gl/lock'
/homes/sanskar/miniconda3/envs/nvdiffrec/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
End of OptiXStateWrapper 
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /homes/sanskar/.cache/torch_extensions/py39_cu116/renderutils_plugin/build.ninja...
Building extension module renderutils_plugin...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Using mesh scale : 2.1, center : [ 0.0737121  -0.00480722 -0.10070956]
Config / Flags:
---------
iter 5000
batch 8
spp 1
layers 1
train_res [600, 800]
display_res [600, 800]
texture_res [1024, 1024]
display_interval 0
save_interval 100
learning_rate [0.03, 0.01]
custom_mip False
background white
loss logl1
out_dir out/scan83
config configs/83.json
ref_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/scan83
base_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/mesh/83.obj
validate True
n_samples 8
bsdf pbr
denoiser bilateral
denoiser_demodulate True
mtl_override None
dmtet_grid 64
mesh_scale 2.1
envlight None
env_scale 1.0
probe_res 256
learn_lighting True
display [{'latlong': True}, {'bsdf': 'kd'}, {'bsdf': 'ks'}, {'bsdf': 'normal'}]
transparency False
lock_light False
lock_pos True
sdf_regularizer 0.2
laplace relative
laplace_scale 3000.0
pre_load True
no_perturbed_nrm False
decorrelated False
kd_min [0.0, 0.0, 0.0, 0.0]
kd_max [1.0, 1.0, 1.0, 1.0]
ks_min [0.0, 0.08, 0.0]
ks_max [1.0, 1.0, 1.0]
nrm_min [-1.0, -1.0, 0.0]
nrm_max [1.0, 1.0, 1.0]
clip_max_norm 0.0
cam_near_far [0.1, 1000.0]
lambda_kd 0.1
lambda_ks 0.05
lambda_nrm 0.025
lambda_nrm2 0.25
lambda_chroma 0.0
lambda_diffuse 0.15
lambda_specular 0.0025
random_textures True
centre [ 0.0737121  -0.00480722 -0.10070956]
---------
DatasetLLFF: 60 images with shape [600, 800]
Auto centering at [ 0.0737121  -0.00480722 -0.10070956]
DatasetLLFF: 4 images with shape [600, 800]
Auto centering at [ 0.0737121  -0.00480722 -0.10070956]
Cuda path /homes/sanskar/miniconda3/envs/nvdiffrec
Base mesh has 250850 triangles and 125828 vertices.
Avg edge length: 1.924560
ninja: no work to do.
Loading extension module renderutils_plugin...
iter=    0, img_loss=0.271676, reg_loss=0.032734, lr=0.00000, time=924.3 ms, rem=1.28 h
iter= 4300, img_loss=0.242354, reg_loss=0.030868, lr=0.00000, time=1006.0 ms, rem=11.74 m
iter= 4310, img_loss=0.250147, reg_loss=0.031281, lr=0.00000, time=1019.2 ms, rem=11.72 m
iter= 4320, img_loss=0.257945, reg_loss=0.032177, lr=0.00000, time=1032.4 ms, rem=11.70 m
iter= 4330, img_loss=0.246560, reg_loss=0.031093, lr=0.00000, time=1014.4 ms, rem=11.33 m
iter= 4340, img_loss=0.257925, reg_loss=0.032625, lr=0.00000, time=1039.4 ms, rem=11.43 m
iter= 4350, img_loss=0.263072, reg_loss=0.032519, lr=0.00000, time=1040.7 ms, rem=11.27 m
iter= 4360, img_loss=0.248860, reg_loss=0.030906, lr=0.00000, time=1010.0 ms, rem=10.77 m
iter= 4370, img_loss=0.273310, reg_loss=0.033693, lr=0.00000, time=1059.2 ms, rem=11.12 m
iter= 4380, img_loss=0.260964, reg_loss=0.032352, lr=0.00000, time=1038.3 ms, rem=10.73 m
iter= 4390, img_loss=0.268867, reg_loss=0.032999, lr=0.00000, time=1049.0 ms, rem=10.67 m
iter= 4400, img_loss=0.270472, reg_loss=0.033860, lr=0.00000, time=1062.0 ms, rem=10.62 m
iter= 4410, img_loss=0.245368, reg_loss=0.030285, lr=0.00000, time=998.0 ms, rem=9.81 m
iter= 4420, img_loss=0.274848, reg_loss=0.033312, lr=0.00000, time=1056.2 ms, rem=10.21 m
iter= 4430, img_loss=0.277918, reg_loss=0.033862, lr=0.00000, time=1064.0 ms, rem=10.11 m
iter= 4440, img_loss=0.279338, reg_loss=0.033664, lr=0.00000, time=1063.6 ms, rem=9.93 m
iter= 4450, img_loss=0.283174, reg_loss=0.034652, lr=0.00000, time=1079.0 ms, rem=9.89 m
iter= 4460, img_loss=0.273175, reg_loss=0.034106, lr=0.00000, time=1062.3 ms, rem=9.56 m
iter= 4470, img_loss=0.271068, reg_loss=0.033253, lr=0.00000, time=1053.0 ms, rem=9.30 m
iter= 4480, img_loss=0.247261, reg_loss=0.030624, lr=0.00000, time=1006.8 ms, rem=8.73 m
iter= 4490, img_loss=0.279855, reg_loss=0.034209, lr=0.00000, time=1071.7 ms, rem=9.11 m
iter= 4500, img_loss=0.277189, reg_loss=0.033444, lr=0.00000, time=1062.1 ms, rem=8.85 m
iter= 4510, img_loss=0.260274, reg_loss=0.031990, lr=0.00000, time=1030.4 ms, rem=8.42 m
iter= 4520, img_loss=0.249492, reg_loss=0.031234, lr=0.00000, time=1013.7 ms, rem=8.11 m
iter= 4530, img_loss=0.261915, reg_loss=0.032433, lr=0.00000, time=1034.3 ms, rem=8.10 m
iter= 4540, img_loss=0.247108, reg_loss=0.030835, lr=0.00000, time=1011.2 ms, rem=7.75 m
iter= 4550, img_loss=0.270927, reg_loss=0.033304, lr=0.00000, time=1052.3 ms, rem=7.89 m
iter= 4560, img_loss=0.260126, reg_loss=0.032027, lr=0.00000, time=1035.7 ms, rem=7.60 m
iter= 4570, img_loss=0.259142, reg_loss=0.032027, lr=0.00000, time=1030.9 ms, rem=7.39 m
iter= 4580, img_loss=0.264452, reg_loss=0.032246, lr=0.00000, time=1039.2 ms, rem=7.27 m
iter= 4590, img_loss=0.262475, reg_loss=0.032437, lr=0.00000, time=1037.9 ms, rem=7.09 m
iter= 4600, img_loss=0.274367, reg_loss=0.033361, lr=0.00000, time=1058.4 ms, rem=7.06 m
iter= 4610, img_loss=0.282290, reg_loss=0.034879, lr=0.00000, time=1082.0 ms, rem=7.03 m
iter= 4620, img_loss=0.263956, reg_loss=0.032599, lr=0.00000, time=1037.7 ms, rem=6.57 m
iter= 4630, img_loss=0.274720, reg_loss=0.033689, lr=0.00000, time=1063.0 ms, rem=6.55 m
iter= 4640, img_loss=0.236890, reg_loss=0.029461, lr=0.00000, time=986.5 ms, rem=5.92 m
iter= 4650, img_loss=0.270212, reg_loss=0.033239, lr=0.00000, time=1052.2 ms, rem=6.14 m
iter= 4660, img_loss=0.253305, reg_loss=0.031816, lr=0.00000, time=1023.8 ms, rem=5.80 m
iter= 4670, img_loss=0.261791, reg_loss=0.032482, lr=0.00000, time=1040.4 ms, rem=5.72 m
iter= 4680, img_loss=0.277701, reg_loss=0.034002, lr=0.00000, time=1066.0 ms, rem=5.69 m
iter= 4690, img_loss=0.271099, reg_loss=0.033121, lr=0.00000, time=1054.1 ms, rem=5.45 m
iter= 4700, img_loss=0.268894, reg_loss=0.033241, lr=0.00000, time=1057.0 ms, rem=5.29 m
iter= 4710, img_loss=0.287495, reg_loss=0.034671, lr=0.00000, time=1084.5 ms, rem=5.24 m
iter= 4720, img_loss=0.271111, reg_loss=0.033952, lr=0.00000, time=1066.9 ms, rem=4.98 m
iter= 4730, img_loss=0.265417, reg_loss=0.032106, lr=0.00000, time=1035.3 ms, rem=4.66 m
iter= 4740, img_loss=0.252043, reg_loss=0.031706, lr=0.00000, time=1022.2 ms, rem=4.43 m
iter= 4750, img_loss=0.269527, reg_loss=0.033079, lr=0.00000, time=1047.4 ms, rem=4.36 m
iter= 4760, img_loss=0.253016, reg_loss=0.031456, lr=0.00000, time=1020.5 ms, rem=4.08 m
iter= 4770, img_loss=0.268329, reg_loss=0.033279, lr=0.00000, time=1053.2 ms, rem=4.04 m
iter= 4780, img_loss=0.256653, reg_loss=0.031911, lr=0.00000, time=1025.3 ms, rem=3.76 m
iter= 4790, img_loss=0.260577, reg_loss=0.032744, lr=0.00000, time=1042.1 ms, rem=3.65 m
iter= 4800, img_loss=0.291878, reg_loss=0.035235, lr=0.00000, time=1091.2 ms, rem=3.64 m
iter= 4810, img_loss=0.281751, reg_loss=0.033860, lr=0.00000, time=1066.6 ms, rem=3.38 m
iter= 4820, img_loss=0.271676, reg_loss=0.033009, lr=0.00000, time=1048.4 ms, rem=3.15 m
iter= 4830, img_loss=0.273702, reg_loss=0.033470, lr=0.00000, time=1061.4 ms, rem=3.01 m
iter= 4840, img_loss=0.260025, reg_loss=0.032517, lr=0.00000, time=1034.8 ms, rem=2.76 m
iter= 4850, img_loss=0.252231, reg_loss=0.031143, lr=0.00000, time=1014.6 ms, rem=2.54 m
iter= 4860, img_loss=0.265058, reg_loss=0.032657, lr=0.00000, time=1043.0 ms, rem=2.43 m
iter= 4870, img_loss=0.256576, reg_loss=0.032417, lr=0.00000, time=1033.6 ms, rem=2.24 m
iter= 4880, img_loss=0.271653, reg_loss=0.033516, lr=0.00000, time=1061.0 ms, rem=2.12 m
iter= 4890, img_loss=0.260488, reg_loss=0.032007, lr=0.00000, time=1032.8 ms, rem=1.89 m
iter= 4900, img_loss=0.264920, reg_loss=0.033153, lr=0.00000, time=1047.2 ms, rem=1.75 m
iter= 4910, img_loss=0.278474, reg_loss=0.034041, lr=0.00000, time=1066.7 ms, rem=1.60 m
iter= 4920, img_loss=0.276415, reg_loss=0.033485, lr=0.00000, time=1058.1 ms, rem=1.41 m
iter= 4930, img_loss=0.259939, reg_loss=0.032338, lr=0.00000, time=1031.4 ms, rem=1.20 m
iter= 4940, img_loss=0.261715, reg_loss=0.032799, lr=0.00000, time=1045.5 ms, rem=1.05 m
iter= 4950, img_loss=0.262907, reg_loss=0.032273, lr=0.00000, time=1036.5 ms, rem=51.82 s
iter= 4960, img_loss=0.284257, reg_loss=0.034692, lr=0.00000, time=1079.8 ms, rem=43.19 s
iter= 4970, img_loss=0.256261, reg_loss=0.032456, lr=0.00000, time=1034.2 ms, rem=31.03 s
iter= 4980, img_loss=0.267387, reg_loss=0.032709, lr=0.00000, time=1044.4 ms, rem=20.89 s
iter= 4990, img_loss=0.260585, reg_loss=0.032368, lr=0.00000, time=1034.8 ms, rem=10.35 s
iter= 5000, img_loss=0.259253, reg_loss=0.031378, lr=0.00000, time=1021.6 ms, rem=0.00 s
Running validation
MSE,      PSNR
0.18959120, 7.509
Writing mesh:  out/scan83/mesh/mesh.obj
    writing 125828 vertices
    writing 146252 texcoords
    writing 125828 normals
    writing 250850 faces
Writing material:  out/scan83/mesh/mesh.mtl
Done exporting mesh
OptiXStateWrapper destructor 
